month,hour,day_type,daylight_savings_status,indoor_dry_bulb_temperature,average_unmet_cooling_setpoint_difference,indoor_relative_humidity,non_shiftable_load,dhw_demand,cooling_demand,heating_demand,solar_generation
7,24,7,0,,,,1.7802167,0.0,0.0,0.0,0.0
8,1,1,0,,,,1.40575,0.0,0.0,0.0,0.0
8,2,1,0,,,,1.1874666,0.0,0.0,0.0,0.0
8,3,1,0,,,,1.1001333,0.0,0.0,0.0,0.0
8,4,1,0,,,,1.2475667,0.0,0.0,0.0,0.0
8,5,1,0,,,,0.7937833,0.0,0.0,0.0,0.0
8,6,1,0,,,,0.97756666,0.0,0.0,0.0,0.87
8,7,1,0,,,,1.2693167,0.0,0.0,0.0,41.12
8,8,1,0,,,,1.8216166,0.0,0.0,0.0,14.06
8,9,1,0,,,,1.4121833,0.0,0.0,0.0,58.05
8,10,1,0,,,,2.0914166,0.0,0.0,0.0,310.95
8,11,1,0,,,,2.0143166,0.0,0.0,0.0,309.85
8,12,1,0,,,,2.0618167,0.0,0.0,0.0,408.25
8,13,1,0,,,,2.2948666,0.0,0.0,0.0,253.05
8,14,1,0,,,,3.19715,0.0,0.0,0.0,171.52
8,15,1,0,,,,3.39055,0.0,0.0,0.0,75.01
8,16,1,0,,,,2.4104,0.0,0.0,0.0,87.93
8,17,1,0,,,,2.4775,0.0,0.0,0.0,82.53
8,18,1,0,,,,1.9287666,0.0,0.0,0.0,39.56
8,19,1,0,,,,2.36005,0.0,0.0,0.0,13.2
8,20,1,0,,,,1.8088334,0.0,0.0,0.0,2.03
8,21,1,0,,,,2.1702,0.0,0.0,0.0,0.0
8,22,1,0,,,,1.6658,0.0,0.0,0.0,0.0
8,23,1,0,,,,1.17815,0.0,0.0,0.0,0.0
8,24,1,0,,,,1.0530167,0.0,0.0,0.0,0.0
8,1,2,0,,,,0.95131665,0.0,0.0,0.0,0.0
8,2,2,0,,,,0.97935,0.0,0.0,0.0,0.0
8,3,2,0,,,,0.62735,0.0,0.0,0.0,0.0
8,4,2,0,,,,0.9346,0.0,0.0,0.0,0.0
8,5,2,0,,,,0.5352167,0.0,0.0,0.0,0.0
8,6,2,0,,,,0.7578667,0.0,0.0,0.0,0.0
8,7,2,0,,,,1.07505,0.0,0.0,0.0,11.5
8,8,2,0,,,,1.4484,0.0,0.0,0.0,125.83
8,9,2,0,,,,1.3377666,0.0,0.0,0.0,134.75
8,10,2,0,,,,1.3874667,0.0,0.0,0.0,390.48
8,11,2,0,,,,1.3578334,0.0,0.0,0.0,494.46
8,12,2,0,,,,2.60845,0.0,0.0,0.0,330.74
8,13,2,0,,,,1.9688,0.0,0.0,0.0,511.35
8,14,2,0,,,,2.8888667,0.0,0.0,0.0,245.64
8,15,2,0,,,,2.6515834,0.0,0.0,0.0,386.38
8,16,2,0,,,,2.8464334,0.0,0.0,0.0,437.32
8,17,2,0,,,,2.28995,0.0,0.0,0.0,57.81
8,18,2,0,,,,3.1141834,0.0,0.0,0.0,191.58
8,19,2,0,,,,2.689,0.0,0.0,0.0,40.21
8,20,2,0,,,,2.2988,0.0,0.0,0.0,4.87
8,21,2,0,,,,2.5825,0.0,0.0,0.0,0.0
8,22,2,0,,,,1.5302334,0.0,0.0,0.0,0.0
8,23,2,0,,,,1.1887333,0.0,0.0,0.0,0.0
8,24,2,0,,,,1.1353667,0.0,0.0,0.0,0.0
8,1,3,0,,,,1.1314167,0.0,0.0,0.0,0.0
8,2,3,0,,,,0.9708833,0.0,0.0,0.0,0.0
8,3,3,0,,,,0.94045,0.0,0.0,0.0,0.0
8,4,3,0,,,,0.9118,0.0,0.0,0.0,0.0
8,5,3,0,,,,0.74553335,0.0,0.0,0.0,0.0
8,6,3,0,,,,0.70701665,0.0,0.0,0.0,0.0
8,7,3,0,,,,1.4444166,0.0,0.0,0.0,4.99
8,8,3,0,,,,1.26525,0.0,0.0,0.0,141.86
8,9,3,0,,,,1.1663,0.0,0.0,0.0,242.66
8,10,3,0,,,,1.1257167,0.0,0.0,0.0,197.38
8,11,3,0,,,,1.3894167,0.0,0.0,0.0,245.73
8,12,3,0,,,,1.31765,0.0,0.0,0.0,365.33
8,13,3,0,,,,1.5656,0.0,0.0,0.0,226.42
8,14,3,0,,,,1.91175,0.0,0.0,0.0,50.03
8,15,3,0,,,,2.6699166,0.0,0.0,0.0,136.8
8,16,3,0,,,,3.6154666,0.0,0.0,0.0,259.39
8,17,3,0,,,,3.2941666,0.0,0.0,0.0,58.79
