month,hour,day_type,daylight_savings_status,indoor_dry_bulb_temperature,average_unmet_cooling_setpoint_difference,indoor_relative_humidity,non_shiftable_load,dhw_demand,cooling_demand,heating_demand,solar_generation
7,24,7,0,,,,2.18875,0.0,0.0,0.0,0.0
8,1,1,0,,,,1.3706666,0.0,0.0,0.0,0.0
8,2,1,0,,,,1.10125,0.0,0.0,0.0,0.0
8,3,1,0,,,,0.54321665,0.0,0.0,0.0,0.0
8,4,1,0,,,,0.5428333,0.0,0.0,0.0,0.0
8,5,1,0,,,,1.5124333,0.0,0.0,0.0,0.0
8,6,1,0,,,,0.34868333,0.0,0.0,0.0,0.87
8,7,1,0,,,,0.67861664,0.0,0.0,0.0,41.12
8,8,1,0,,,,1.5065,0.0,0.0,0.0,14.06
8,9,1,0,,,,1.6521167,0.0,0.0,0.0,58.05
8,10,1,0,,,,2.7347834,0.0,0.0,0.0,310.95
8,11,1,0,,,,2.9716666,0.0,0.0,0.0,309.85
8,12,1,0,,,,3.526,0.0,0.0,0.0,408.25
8,13,1,0,,,,3.8720334,0.0,0.0,0.0,253.05
8,14,1,0,,,,3.4493666,0.0,0.0,0.0,171.52
8,15,1,0,,,,3.3364167,0.0,0.0,0.0,75.01
8,16,1,0,,,,2.2620666,0.0,0.0,0.0,87.93
8,17,1,0,,,,0.9674501,0.0,0.0,0.0,82.53
8,18,1,0,,,,0.16195008,0.0,0.0,0.0,39.56
8,19,1,0,,,,0.0059500607,0.0,0.0,0.0,13.2
8,20,1,0,,,,0.35833338,0.0,0.0,0.0,2.03
8,21,1,0,,,,1.5845,0.0,0.0,0.0,0.0
8,22,1,0,,,,2.5612333,0.0,0.0,0.0,0.0
8,23,1,0,,,,1.4342,0.0,0.0,0.0,0.0
8,24,1,0,,,,4.132075,0.0,0.0,0.0,0.0
8,1,2,0,,,,2.9009166,0.0,0.0,0.0,0.0
8,2,2,0,,,,2.2597833,0.0,0.0,0.0,0.0
8,3,2,0,,,,1.4480667,0.0,0.0,0.0,0.0
8,4,2,0,,,,1.1343666,0.0,0.0,0.0,0.0
8,5,2,0,,,,0.35226667,0.0,0.0,0.0,0.0
8,6,2,0,,,,0.34945,0.0,0.0,0.0,0.0
8,7,2,0,,,,1.7421,0.0,0.0,0.0,11.5
8,8,2,0,,,,0.60545,0.0,0.0,0.0,125.83
8,9,2,0,,,,2.4703333,0.0,0.0,0.0,134.75
8,10,2,0,,,,1.9930333,0.0,0.0,0.0,390.48
8,11,2,0,,,,3.3299167,0.0,0.0,0.0,494.46
8,12,2,0,,,,1.87625,0.0,0.0,0.0,330.74
8,13,2,0,,,,1.30285,0.0,0.0,0.0,511.35
